Ticker,Date,Revenue,NetIncome,EBITDA,TotalDebt,TotalAssets,TotalEquity,SharesOutstanding,EPS,BookValuePerShare
BA,2025-06-30,22749000000.0,-611000000.0,609000000.0,53323000000.0,155120000000.0,-3295000000.0,754006016,-0.8103383620748194,-4.369991657997594
BAC,2023-12-31,,,,,,,7913730048,,
BAC,2024-03-31,,,,,,,7890639872,,
BAC,2024-06-30,25377000000.0,6897000000.0,,330903000000.0,3257996000000.0,293892000000.0,7820369920,0.8819275904534194,37.58031947419695
BAC,2024-09-30,25345000000.0,6896000000.0,,335367000000.0,3324293000000.0,296512000000.0,7759580160,0.8887078756590872,38.212376686111845
BAC,2024-12-31,25347000000.0,6665000000.0,,326670000000.0,3261519000000.0,295559000000.0,7672880128,0.8686438324088985,38.51995535828082
BAC,2025-03-31,27366000000.0,7396000000.0,,345616000000.0,3349424000000.0,295581000000.0,7602800128,0.9727994785449658,38.87791274578144
BAC,2025-06-30,26463000000.0,7116000000.0,,361309000000.0,3441142000000.0,299599000000.0,7586220032,0.9380165576510396,39.49252707359385
BK,2023-12-31,,,,,,,769073024,,
BK,2024-03-31,,,,,,,752870976,,
BK,2024-06-30,4509000000.0,1168000000.0,,31528000000.0,428539000000.0,40843000000.0,747816000,1.5618815323555526,54.61637622088856
BK,2024-09-30,4558000000.0,1182000000.0,,33901000000.0,427461000000.0,41992000000.0,737958016,1.6017171361683535,56.90296614380838
BK,2024-12-31,4760000000.0,1155000000.0,,31380000000.0,416064000000.0,41318000000.0,727078016,1.5885502993945564,56.82746430336301
BK,2025-03-31,4687000000.0,1220000000.0,,32743000000.0,440691000000.0,43119000000.0,717974016,1.6992258393930513,60.05649095802375
BK,2025-06-30,4925000000.0,1423000000.0,,36083000000.0,485781000000.0,43950000000.0,715433984,1.98900252409592,61.4312445073898
BKNG,2023-12-31,,,,,,,34889900,,
BKNG,2024-03-31,,,,,,,34600700,,
BKNG,2024-06-30,5859000000.0,1521000000.0,2367000000.0,17337000000.0,28541000000.0,-4276000000.0,33927500,44.83088939650726,-126.0334536880112
BKNG,2024-09-30,7994000000.0,2517000000.0,3364000000.0,16720000000.0,27978000000.0,-3653000000.0,33810800,74.44366888686456,-108.04240065304576
BKNG,2024-12-31,5471000000.0,1068000000.0,2274000000.0,17081000000.0,27708000000.0,-4020000000.0,33096700,32.26907818604272,-121.4622605879136
BKNG,2025-03-31,4762000000.0,333000000.0,1229000000.0,16500000000.0,27191000000.0,-6112000000.0,32815200,10.147736414832153,-186.2551500524147
BKNG,2025-06-30,6798000000.0,895000000.0,1716000000.0,18989000000.0,30684000000.0,-6657000000.0,32540300,27.504356136851843,-204.57709363466225
BLK,2023-12-31,,,,,,,148762000,,
BLK,2024-03-31,,,,,,,148942000,,
BLK,2024-06-30,4805000000.0,1495000000.0,2248000000.0,11678000000.0,125271000000.0,40102000000.0,149802000,9.97984005553998,267.7000307072002
BLK,2024-09-30,5197000000.0,1631000000.0,2529000000.0,14179000000.0,132816000000.0,41178000000.0,148128000,11.010747461654786,277.9893065456902
BLK,2024-12-31,5677000000.0,1670000000.0,2469000000.0,14222000000.0,138615000000.0,47495000000.0,154879008,10.782610384488,306.65873066542366
BLK,2025-03-31,5276000000.0,1510000000.0,2123000000.0,14259000000.0,141942000000.0,48036000000.0,155252992,9.726060545100475,309.40466512877254
BLK,2025-06-30,5423000000.0,1593000000.0,2642000000.0,14710000000.0,146470000000.0,49141000000.0,154926000,10.282328337399791,317.19014239056065
BMY,2023-12-31,,,,,,,2034759936,,
BMY,2024-03-31,,,,,,,2022189952,,
BMY,2024-06-30,12201000000.0,1680000000.0,4403000000.0,54004000000.0,94646000000.0,17015000000.0,2075449984,0.8094630142626458,8.198222135523165
BMY,2024-09-30,11892000000.0,1211000000.0,4773000000.0,51400000000.0,93670000000.0,17142000000.0,2027399936,0.5973167792385685,8.455164516686658
